"date","price","receive_count","sent_count","avg_fee","blocksize","btchashrate","OIL","ecr20_transfers","GOLD","searches","hashrate","marketcap","difficulty","s&p500","transactionfee","transactions","tweet_count","unique_adresses","VIX","UVYX"
2017-01-29,10.47,7392,14459,0.01,1523,2852009.21994623,53.17,1493,1271.7,1,8111.2062,925.312906292812,110.677,2294.69,30618545932158398464,42509,1466,1025985,10.58,4766
2017-01-30,10.62,8414,15274,0.01,1579,2852009.21994623,52.63,937,1276.4,1,8348.0885,938.908478806875,110.965,2280.9,32792538455809679360,45369,1479,1028616,11.88,5040
2017-01-31,10.71,8260,14423,0.01,1539,2852009.21994623,52.81,3123,1291.8,1,8339.12,947.201773258125,112.737,2278.87,32009038231765585920,43649,1472,1030377,11.99,4984
2017-02-01,10.71,8375,14984,0.01,1607,3066886.62692848,53.88,3402,1289.5,1,8226.0029,947.53734098625,111.557,2279.55,38115541106272600064,44541,1673,1032363,11.81,4828
2017-02-02,10.78,8833,14676,0.01,1578,3066886.62692848,53.54,2449,1300.6,1,8407.2648,954.069047518125,113.89,2280.85,35459397355305275392,43709,3207,1034339,11.93,4894
2017-02-03,10.95,8164,14657,0.01,1568,3066886.62692848,53.83,2866,1302.2,1,8271.9789,969.457105725,112.321,2297.42,34059355115180445696,42778,2049,1036149,10.97,4706
2017-02-04,11.32,8986,15437,0.01,1560,3336807.82080216,53.83,1571,1302.2,1,8427.7058,1002.57454910375,112.665,2297.42,3.2971661726656e+19,45410,1494,1038366,10.97,4706
2017-02-05,11.22,9134,15695,0.01,1614,3336807.82080216,53.83,1858,1302.2,1,8773.2937,994.072453006875,118.163,2297.42,34840821328830373888,46542,1482,1040151,10.97,4706
2017-02-06,11.32,9152,14911,0.01,1606,3336807.82080216,53.01,1078,1313.3,1,8877.6557,1003.2902578725,119.234,2292.56,35865613624237051904,47306,1659,1041868,11.37,4694
2017-02-07,11.45,8813,15154,0.01,1827,3063987.05557934,52.17,3180,1316.4,1,8865.7805,1015.17271906094,119.408,2293.08,46068715002669752320,51866,1910,1044080,11.29,4764
2017-02-08,11.39,9030,15495,0.01,1764,3063987.05557934,52.34,2414,1318.3,1,8981.8497,1010.21419045437,120.24,2294.67,43713741651080896512,51089,1987,1046627,11.45,4724
2017-02-09,10.94,8973,15602,0.01,1630,3063987.05557934,53,2590,1315.4,1,8947.4759,970.64611752,121.113,2307.87,40681621672173076480,47873,1837,1048537,10.88,4530
2017-02-10,11.34,10069,15521,0.01,1735,2917083.5666132,53.86,2477,1314.5,1,9217.8017,1006.49308996688,124.421,2316.1,46219403549474185216,52222,2241,1050601,10.85,4382
2017-02-11,11.43,8362,14612,0.01,1594,2917083.5666132,53.86,1658,1314.5,1,9275.2906,1014.8422022775,124.729,2316.1,38495933170703540224,46560,1893,1052536,10.85,4382
2017-02-12,11.42,9018,15459,0.01,1571,2917083.5666132,53.86,1857,1314.5,1,9392.2664,1014.31485216625,126.46,2316.1,40336776565119467520,45319,1637,1055170,10.85,4382
2017-02-13,11.39,11165,16782,0.01,1823,3546669.94789663,52.93,1297,1304.9,1,9522.8756,1012.01172822,127.523,2328.25,61463154387193421824,55990,1735,1057373,11.07,4106
2017-02-14,13,11010,17249,0.01,1914,3546669.94789663,53.2,3205,1304.9,1,9629.3742,1155.4707961875,129.976,2337.58,49832184354236301312,58298,2320,1060192,10.74,3750
2017-02-15,12.97,10848,17426,0.02,1818,3546669.94789663,53.11,2273,1314.2,1,9674.344,1153.21575175844,129.591,2349.25,90527761018230751232,55320,3673,1062971,11.97,3962
2017-02-16,12.95,9865,16830,0.01,1661,3168918.11912658,53.36,1173,1322.7,1,9633.6869,1151.84591092813,129.994,2347.22,39211240292990607360,49674,18078,1065094,11.76,4022
2017-02-17,12.72,9838,16493,0.01,1661,3168918.11912658,53.4,931,1319.4,1,9813.818,1131.78690576,133.278,2351.16,38846674057194586112,49406,4287,1067195,11.49,4050
2017-02-18,12.83,10723,16499,0.01,1773,3168918.11912658,53.4,3119,1319.4,1,9910.4307,1141.97481749156,135.014,2351.16,44652698925798146048,49398,3759,1070152,11.49,4050
2017-02-19,12.82,9117,16081,0.01,1635,3242870.59291391,53.79,1100,1237.3,1,10076.9868,1141.48558113813,137.219,2351.16,36312674289665712128,48227,2984,1072189,11.49,4050
2017-02-20,12.52,10281,17021,0.01,1696,3242870.59291391,53.97,1317,1238.2,1,10118.1204,1115.16672547875,137.087,2351.16,4.1034467994639e+19,50152,3469,1074669,11.49,4050
2017-02-21,12.77,9856,16902,0.01,1989,3242870.59291391,54.06,12748,1319.2,1,10342.9777,1137.83562515219,140.244,2365.38,54865479665312907264,58434,3470,1077693,11.57,4138
2017-02-22,12.69,9709,16802,0.01,1790,3286693.16849383,53.59,4522,1313.3,1,10225.688,1131.10067521688,140.528,2362.82,50954347613888520192,50372,2934,1080026,11.74,4174
2017-02-23,13.13,9504,16586,0.01,1667,3286693.16849383,54.45,2715,1331.7,1,10249.8892,1170.72933969469,139.771,2363.81,43352493041966407680,47601,2862,1082340,11.71,4394
2017-02-24,13.11,10657,18237,0.01,1778,3286693.16849383,53.99,3034,1338.4,1,10300.807,1169.35591623937,140.244,2367.34,41339238137770582016,54081,3159,1085027,11.47,4288
2017-02-25,13.57,10034,17464,0.01,1761,3900209.22661268,53.99,3781,1338.4,1,10613.2667,1210.81413489594,142.922,2367.34,44662422324251090944,53245,2565,1087362,11.47,4288
2017-02-26,14.59,10191,17530,0.01,1713,3900209.22661268,53.99,2067,1338.4,3,11038.1733,1302.29021246375,147.403,2367.34,3.9379004377986e+19,51716,2853,1089873,11.47,4288
2017-02-27,15.55,11217,18767,0.01,1819,3900209.22661268,54.05,1999,1339.1,3,11078.6475,1388.46482636094,150.763,2369.75,45027386000703135744,52642,3660,1093061,12.09,4240
2017-02-28,16.07,13620,20938,0.01,1935,3155225.44175408,54.01,3935,1334.3,3,11579.116,1435.40773190375,154.531,2363.64,50962691423419129856,60277,4700,1097572,12.92,4460
2017-03-01,17.55,14269,22019,0.02,2235,3155225.44175408,53.83,2353,1331.1,3,11193.1403,1568.15117787656,152.61,2395.96,5.4942971648872e+19,59774,3865,1104598,12.54,4268
2017-03-02,19.08,21546,23078,0.01,2209,3155225.44175408,52.61,3582,1313.9,3,11369.6535,1705.46531167125,152.75,2381.92,5.4862694242967e+19,70779,3593,1111090,11.81,4286
2017-03-03,19.48,16118,23406,0.01,2084,3069265.84971519,53.33,3518,1308.8,3,11791.9899,1741.8290041275,160.218,2383.12,46403122802155151360,64294,2841,1117915,10.96,4026
2017-03-04,18.61,14069,20855,0.01,1860,3069265.84971519,53.33,1846,1308.8,3,11641.3951,1664.61696947844,158.696,2383.12,42519420519271366656,58756,4207,1122227,10.96,4026
2017-03-05,19.22,13730,19679,0.01,1821,3069265.84971519,53.33,1799,1308.8,2,12169.6377,1719.78653075687,163.957,2383.12,43438703490226225152,57031,2265,1126316,10.96,4026
2017-03-06,19.75,13793,21312,0.01,1808,3504460.26124197,53.2,1239,1307.3,2,12202.0077,1767.82567913281,166.365,2375.31,41351692018480513024,57020,3238,1130974,11.24,3880
2017-03-07,18.91,12556,19851,0.01,1963,3504460.26124197,53.14,3012,1297.7,2,12126.1529,1693.22465398156,165.933,2368.39,43802708615888371712,62589,2307,1134803,11.45,3880
2017-03-08,16.54,12871,20174,0.01,1800,3504460.26124197,50.28,2128,1291.9,2,12566.0974,1481.53007055438,170.548,2362.98,4.0317484090895e+19,55386,2416,1139079,11.86,3932
2017-03-09,17.71,14958,22693,0.01,2403,3573175.16832514,49.28,3692,1285.7,2,12593.1903,1586.87559747063,173.894,2364.87,49768597101768196096,64266,2981,1145689,12.3,3898
2017-03-10,19.13,16030,21011,0.02,2190,3573175.16832514,48.49,3181,1284,2,12622.6645,1714.70592314469,172.946,2372.6,55572756428245647360,65132,4173,1151824,11.66,3780
2017-03-11,21.45,14851,22674,0.02,2014,3573175.16832514,48.49,2516,1284,2,12870.7578,1923.32771389687,175.151,2372.6,4.7961429061199e+19,64803,3670,1157765,11.66,3780
2017-03-12,23.31,16979,23865,0.02,2043,3573175.16832514,48.49,2349,1284,6,12911.1921,2090.82488396906,177.745,2372.6,4.8529026723026e+19,66646,4090,1165133,11.66,3780
2017-03-13,28.45,23209,31045,0.03,2452,3321220.50902016,48.4,2394,1286.6,6,13434.1504,2552.76418806094,180.235,2373.47,76362749610958864384,81718,5321,1177027,11.35,3630
2017-03-14,28.58,19439,27091,0.03,2433,3321220.50902016,47.72,3734,1286.3,6,13255.2329,2565.32096012125,179.845,2365.45,74822605774397308938,77155,4659,1186677,12.3,3764
2017-03-15,35.18,20112,28632,0.03,2456,3321220.50902016,48.86,3690,1284.3,6,13628.7396,3158.83624443062,184.132,2385.26,64307989531205615616,81205,4888,1197188,11.63,3484
2017-03-16,45.51,29444,39426,0.04,3071,3504460.26124197,48.75,4925,1310.7,6,13794.9629,4087.80429152063,185.854,2381.38,85398885983425855498,109950,5545,1214848,11.21,3340
2017-03-17,44.48,28826,38947,0.04,2880,3504460.26124197,48.78,4400,1313.6,6,14518.7852,3996.70384334,192.81,2378.25,8.896620259759e+19,106635,4902,1230590,11.28,3264
2017-03-18,34,23897,32384,0.02,2513,3504460.26124197,48.78,4369,1313.6,6,14696.5419,3056.1048123125,197.601,2378.25,60519844564429766656,89920,5211,1242545,11.28,3264
2017-03-19,43.12,20170,28623,0.03,2396,3925474.04529489,48.78,2747,1313.6,5,13915.1809,3877.196469685,190.867,2378.25,57003510352675364864,84599,3449,1251192,11.28,3264
2017-03-20,42.51,20419,29468,0.03,2316,3925474.04529489,48.22,2448,1317.2,5,14863.3155,3823.693752255,199.408,2373.47,56949211838891851776,80264,5631,1260406,11.34,3270
2017-03-21,42.67,20609,29758,0.03,2507,3925474.04529489,47.34,4949,1329,5,14561.0448,3839.40891838969,199.631,2344.02,64218718934215860224,84298,5091,1270512,12.47,3512
2017-03-22,41.65,18964,27633,0.03,2368,3807236.87525589,48.04,3228,1331.5,5,14914.7357,3748.9368772625,201.632,2348.45,60196470444093513738,78821,2852,1278778,12.81,3546
2017-03-23,43.2,18984,27615,0.03,2513,3807236.87525589,47.7,4379,1328.5,5,15425.4361,3889.7915121,210.879,2345.96,60999082037629550592,82434,3089,1286770,13.12,3794
2017-03-24,53.19,23576,32001,0.04,2557,3807236.87525589,47.97,4347,1330.4,5,15334.1063,4790.94622873875,211,2343.98,7.3289017898364e+19,87775,3773,1298200,12.96,3644
2017-03-25,50.62,21673,30310,0.03,2428,3145108.72303748,47.97,3608,1330.4,5,15439.4585,4561.03278871625,211.205,2343.98,58092453009488052224,84394,3030,1307733,12.96,3644
2017-03-26,50.63,18709,27537,0.04,2375,3145108.72303748,47.97,3168,1330.4,4,16219.4936,4563.51223643844,221.175,2343.98,58104728576066338816,79534,2745,1315072,12.96,3644
2017-03-27,49.06,21790,29582,0.04,2896,3145108.72303748,47.73,4075,1337.4,4,16894.3097,4423.52196118938,231.657,2341.59,77739246066675335178,94570,3655,1326892,12.5,3502
2017-03-28,50.25,20434,29297,0.04,2543,3665352.27120909,48.37,4930,1337.5,4,16458.957,4532.35437989062,229.549,2358.57,63882073242730659840,84348,6384,1335886,11.53,3126
2017-03-29,53.07,20753,30110,0.04,2744,3665352.27120909,49.51,12372,1335.5,4,17141.823,4788.36680949281,232.98,2361.13,69324984414454726656,93064,5187,1344798,11.42,3098
2017-03-30,51.91,25204,35315,0.04,2853,3665352.27120909,50.35,9426,1326.7,4,17183.9723,4685.30291218313,236.982,2368.06,71105132156761808896,96209,5085,1359106,11.54,3128
2017-03-31,49.91,30937,36090,0.04,2949,3352999.96635355,50.6,6168,1329.8,4,17643.5302,4506.34412712531,240.139,2362.72,77400676527541190656,103102,3084,1373457,12.37,3234
2017-04-01,50.6,20449,27643,0.04,2403,3352999.96635355,50.6,3872,1329.8,4,17342.0731,4570.20487295625,239.048,2362.72,57222881358614528000,80572,3314,1381163,12.37,3234
2017-04-02,48.55,23267,31555,0.04,2669,3352999.96635355,50.6,3427,1329.8,3,17320.8014,4386.52625135313,242.037,2362.72,6.6267082119486e+19,88948,3232,1391454,12.37,3234
2017-04-03,44.13,29661,35761,0.03,2788,4371318.47465352,50.24,2999,1332.7,3,16564.8723,3988.55242783687,225.778,2358.84,74784457554753290240,100221,3608,1404395,12.38,3264
2017-04-04,44.43,22527,31476,0.03,2518,4371318.47465352,51.03,4705,1336.8,3,17593.0096,4017.0467798025,240.588,2360.16,64979850017955127296,86279,4682,1414615,11.79,3186
2017-04-05,44.9,23591,30329,0.04,2558,4371318.47465352,51.15,3870,1327.5,3,18094.6996,4060.94332560625,246.279,2352.95,68312686048585138176,87411,4248,1424910,12.89,3388
2017-04-06,43.23,26864,36352,0.03,2799,3651044.4078072,51.7,5273,1332.4,3,17967.3505,3911.22977299313,248.619,2357.49,73388622888901058560,95177,4721,1438686,12.39,3260
